 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Ano
Imuno: 072 BCG
Período:2000-2018
"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"11 Rondônia";34654;35213;32122;31107;30836;30823;30194;26244;28357;28068;26805;27586;27674;29899;29180;29955;28900;27104;24805;559526
"12 Acre";17101;20105;21053;19352;19048;19076;19080;19831;19531;18437;19256;18481;17700;18890;17448;18019;16939;16345;15839;351531
"13 Amazonas";84148;84517;85867;89590;84632;95910;96372;92081;90910;91384;87714;88693;93902;88990;93158;87367;77405;75738;74056;1662434
"14 Roraima";18261;10048;10510;10705;9498;10401;11074;9920;9599;9809;10908;11086;11377;9303;11020;11944;11985;12974;15138;215560
"15 Pará";162481;183776;200764;197849;183739;214006;210510;204987;193105;183717;177783;171319;162045;167041;158187;131887;116950;121313;115103;3256562
"16 Amapá";16755;26502;18320;18241;16925;17461;17901;16338;17469;16551;16539;15974;15125;17692;17685;19065;18473;15766;15924;334706
"17 Tocantins";31203;32660;30838;28417;28049;29242;29048;27292;27587;25907;25117;25555;24482;23039;25122;25907;24749;26221;24429;514864
"21 Maranhão";163096;172299;169504;172918;164230;173280;176834;180206;171935;163890;154853;151712;140959;137377;125450;118831;105284;115279;111062;2868999
"22 Piauí";68393;68485;64959;60956;62148;62071;60357;56963;55908;53339;51780;51094;49401;48407;46278;40035;40198;46037;45806;1032615
"23 Ceará";193388;185396;175195;165587;158890;166229;148681;150981;143279;142003;140053;139239;135348;139709;136252;143187;139925;139510;130356;2873208
"24 Rio Grande do Norte";58329;57418;60832;59280;56684;58756;56634;54498;53977;53921;55014;58282;55012;52490;50815;49471;42931;31972;48468;1014784
"25 Paraíba";72677;80286;75091;73423;74953;81072;75810;74001;76749;70927;65785;68059;65209;65991;63525;60091;55952;58990;58849;1317440
"26 Pernambuco";203858;194924;193289;191131;182000;178077;170353;163715;164432;159999;152554;156620;151584;149408;153453;155633;141871;139580;138755;3141236
"27 Alagoas";78991;73659;81899;78389;73119;72114;67527;63425;58684;63047;56336;55394;59347;61087;56718;53637;54341;57085;53780;1218579
"28 Sergipe";46739;44729;38982;38632;38442;39174;39404;37525;38240;35626;31892;34600;32381;33742;34029;36212;33372;33630;33253;700604
"29 Bahia";289827;311442;286698;287888;288944;284362;262055;251597;235595;232162;231351;229056;216081;217606;212667;208964;171411;175730;166031;4559467
"31 Minas Gerais";372241;327789;313831;300026;299984;301041;284161;271789;270804;260775;257245;259580;260744;270424;262014;264798;238423;249582;251347;5316598
"32 Espírito Santo";61956;60841;59804;58773;58604;57031;54744;51121;52260;52046;54992;53146;53068;55536;55743;55311;51190;51101;53274;1050541
"33 Rio de Janeiro";282577;258744;256191;257794;251299;257800;248536;240301;234436;237316;234528;246971;232968;235729;252465;257521;248215;268520;229546;4731457
"35 São Paulo";759875;701361;678785;664327;674353;658767;630269;605155;627559;613416;607038;620629;622359;632503;637903;624356;590146;628827;594669;12172297
"41 Paraná";199414;187968;176326;166607;167352;167380;160282;151763;155575;154659;154864;158910;155011;168189;166218;164553;150470;153069;146322;3104932
"42 Santa Catarina";100736;91855;88098;84833;88692;87328;85645;82580;86004;85419;86300;89036;87014;89430;95802;98908;94536;79004;87194;1688414
"43 Rio Grande do Sul";181810;167780;160980;154845;156086;151953;144276;133823;133708;132519;128689;135249;135305;152706;146024;146604;135316;131199;125517;2754389
"50 Mato Grosso do Sul";49227;48083;45898;42407;41490;42562;41219;40891;42209;41991;42367;43275;42421;47717;54796;54808;46745;46659;45618;860383
"51 Mato Grosso";60344;57838;57283;56180;57119;59693;55447;55731;56127;54025;47812;50895;52072;54578;57293;57884;54535;54201;56181;1055238
"52 Goiás";103027;102643;105909;102451;106037;106460;102954;101722;104499;101125;103479;105101;98627;104426;107674;99737;92058;91133;88978;1928040
"53 Distrito Federal";61784;57632;53535;53340;52597;50179;49407;47040;47672;49081;49799;43221;46791;57898;49377;34839;61673;44022;38973;948860
"Total";3772892;3643993;3542563;3465048;3425750;3472248;3328774;3211520;3196210;3131159;3070853;3108763;3044007;3129807;3116296;3049524;2843993;2890591;2789273;61233264
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

