 Nascidos vivos - Brasil
Nascim p/ocorrênc por Unidade da Federação e Ano do nascimento
Período:2000-2018
"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"11 Rondônia";31366;28268;29334;28939;29071;28135;24932;23007;26787;26081;25858;27627;26521;27160;27598;27889;26706;27523;28093;520895
"12 Acre";15328;15029;16000;16221;16872;17832;16743;16568;18478;17395;16983;18371;17386;17719;17846;17676;16333;17033;17264;323077
"13 Amazonas";67597;70197;70596;70611;71153;73239;75405;73153;74670;75332;73777;75776;76726;78540;80584;79531;76208;77518;77534;1418147
"14 Roraima";9700;9573;8913;10082;9681;9583;9598;9581;10092;9676;9724;9932;10741;10797;11100;11409;11362;11710;13315;196569
"15 Pará";126686;134009;135120;143742;142243;144722;149274;149157;149965;141786;139208;140566;136235;137634;141521;141556;135701;136592;139442;2665159
"16 Amapá";13966;14827;14606;15236;14261;14508;15196;14903;15838;15218;15946;16111;15924;16840;17566;17100;16850;16795;17440;299131
"17 Tocantins";26406;27102;26297;26297;25758;26495;26117;25089;25721;24766;24369;24646;23897;23688;24459;24609;23370;24338;24942;478366
"21 Maranhão";98466;106321;116029;125811;123833;128064;125146;124652;125693;121154;117179;118534;113936;112883;115235;115893;108537;111173;115158;2223697
"22 Piauí";61210;60714;57874;57192;57306;59384;57867;55805;55360;53560;51971;52890;50450;49013;50457;51716;49693;51147;52248;1035857
"23 Ceará";142408;148930;143109;139966;137353;140234;135105;134026;134063;131380;128896;128673;126856;125026;128827;132721;126377;127853;131540;2543343
"24 Rio Grande do Norte";56578;53657;53343;52499;50976;52459;48323;48444;50246;49445;48217;48724;47528;47267;48635;49527;45909;46709;48641;947127
"25 Paraíba";57807;65179;63838;63671;61702;63355;59193;58068;60566;58740;57610;57860;56390;56671;57148;58828;55724;57291;60092;1129733
"26 Pernambuco";161169;162182;155018;151591;149878;152230;146339;142889;145124;143397;138242;142614;143431;143215;145024;146209;131773;136803;139057;2776185
"27 Alagoas";64298;66231;63113;61379;57422;59159;55968;55722;56697;54051;52812;53154;51533;51491;50888;51774;47380;49744;52004;1054820
"28 Sergipe";41474;39803;38031;37993;37095;37848;37941;36920;37826;36256;35264;36386;35815;35945;36040;36207;33159;35061;35455;700519
"29 Bahia";242597;239870;239655;240187;235337;232844;221448;222153;222843;217335;211195;212346;207074;200392;201338;204207;198214;202287;203396;4154718
"31 Minas Gerais";299558;298080;284342;284765;277453;276651;265115;258469;259924;251826;254438;259141;260030;258022;266425;267873;252961;260424;263067;5098564
"32 Espírito Santo";58147;56386;54662;52984;53024;52334;51439;50870;51674;51284;51615;52875;52653;53767;56194;56399;52991;55513;56337;1021148
"33 Rio de Janeiro";259659;242783;232615;232566;230195;223286;218586;217070;215992;216799;215437;220772;222923;224199;233681;237071;219174;223303;220495;4306606
"35 São Paulo";688179;632583;623176;610602;618145;619467;604385;596454;602911;599546;602420;611425;617816;612329;627389;635627;602970;613299;607702;11726425
"41 Paraná";179647;167486;165140;157324;159785;160233;153465;147539;151039;149179;152009;152872;153941;155502;159380;160403;154636;157436;156227;2993243
"42 Santa Catarina";94945;87950;85731;83126;85186;84298;83986;81750;85169;83337;84423;87258;88461;89762;93285;97414;95466;98279;99395;1689221
"43 Rio Grande do Sul";176469;160493;155186;149128;153021;147303;141576;133568;135274;133828;133424;137870;139129;141491;143440;148415;141446;141608;140052;2752721
"50 Mato Grosso do Sul";40361;39939;39890;39085;41378;41125;39309;38378;41045;39979;39805;41805;41876;41879;43588;43665;42009;44265;43767;783148
"51 Mato Grosso";49401;47605;47744;48583;51152;52318;49421;47325;49760;48422;48822;51168;51126;52939;56386;56617;53346;57202;58548;977885
"52 Goiás";85318;84933;84475;82449;81642;82089;77683;75900;77956;77549;77039;77903;81052;82262;86316;87673;83605;85466;86613;1557923
"53 Distrito Federal";58021;55344;55565;56222;55626;55899;55368;53868;54115;54260;55185;55861;56339;57594;58909;59659;55900;57163;57108;1068006
"Total";3206761;3115474;3059402;3038251;3026548;3035094;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932;56442233
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
